created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-22T05:15:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T06:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T06:15:34-05:00,24.1535,50.3853,,,,61.65,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T06:15:37-05:00,,,,-40,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T06:15:39-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T07:15:15-05:00,,,3.9183,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T07:15:34-05:00,24.0253,44.7349,,,,63.15,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T07:15:37-05:00,,,,-39,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T07:15:39-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T08:15:16-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T08:15:34-05:00,24.0414,59.1226,,,,63.15,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-22T08:15:37-05:00,,,,-43,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
